PlayerName,Position,BodyFatPercentage,HandLength_Inches,HandWidth_Inches,HeightWithoutShoes_Inches,HeightWithShoes_Inches,StandingReach_Inches,Weight_lbs,Wingspan_Inches,ID,Rank,PickNumber,Team,College,PlayedOverseas,YearsPlayed,GamesPlayed,TotalMinutesPlayed,TotalPoints,TotalRebounds,TotalAssists,FieldGoalPercentage,ThreePointPercentage,FreeThrowPercentage,WinShares,WinSharesPer48Minutes,BoxPlusMinus,ValueOverReplacementPlayer,DraftYear,MinutesPerGame,PointsPerGame,ReboundsPerGame,AssistsPerGame
justin jackson,SF,0.08,8.75,8.75,79.0,80.25,103.5,193.4,82.75,1671,43,43,DEN,Maryland,DOMESTIC,3.57,161,33406,1490,577,306,0.43,0.31,0.73,6.0,0.05,-2.73,0.96,2018,16.23,6.5,2.75,1.36
justin jackson,PF,0.09,9.0,9.5,78.0,78.75,105.0,229.4,87.0,1583,15,15,POR,UNC,DOMESTIC,5.0,255,33406,1656,637,276,0.426,0.321,0.799,5.3,0.053,-2.8,-1.0,2017,18.7,6.5,2.5,1.1
justin jackson,PF,0.09,9.0,9.5,78.0,78.75,105.0,229.4,87.0,1671,43,43,DEN,Maryland,DOMESTIC,3.57,161,33406,1490,577,306,0.43,0.31,0.73,6.0,0.05,-2.73,0.96,2018,16.23,6.5,2.75,1.36
demetrius jackson,PG,0.07,8.25,9.0,72.0,73.25,93.0,193.8,77.5,1553,45,45,BOS,Notre Dame,DOMESTIC,3.0,26,33406,48,19,17,0.486,0.286,0.667,0.2,0.087,-0.5,0.1,2016,5.2,1.8,0.7,0.7
brice johnson,PF,0.08,9.0,8.25,81.0,82.5,106.5,208.6,84.5,1533,25,25,LAC,UNC,DOMESTIC,2.0,21,33406,47,34,3,0.449,0.0,0.6,0.1,0.062,-0.6,0.0,2016,5.1,2.2,1.6,0.1
damian jones,C,0.07,8.75,10.5,82.25,83.5,107.0,243.6,87.75,1538,30,30,GSW,Vanderbilt,DOMESTIC,6.0,180,33406,896,585,136,0.661,0.286,0.7,7.6,0.141,-1.3,0.4,2016,14.3,5.0,3.3,0.8
jake layman,SF,0.07,8.25,9.25,80.0,81.25,102.0,208.6,81.25,1555,47,47,ORL,Maryland,DOMESTIC,6.0,232,33406,1140,405,125,0.459,0.297,0.72,3.7,0.058,-2.3,-0.2,2016,13.1,4.9,1.7,0.5
caris levert,SG,0.08,8.5,9.25,77.75,79.0,101.0,191.0,82.0,1528,20,20,IND,Michigan,DOMESTIC,6.0,303,33406,4444,1158,1197,0.436,0.333,0.737,11.6,0.067,-0.4,3.4,2016,27.5,14.7,3.8,4.0
thon maker,PF,0.06,8.75,9.5,83.75,84.75,110.5,216.0,87.0,1518,10,10,MIL,FOREIGN,FOREIGN,5.0,263,33406,1216,726,161,0.435,0.327,0.68,6.6,0.087,-2.1,-0.1,2016,13.8,4.6,2.8,0.6
patrick mccaw,PG-SG,0.05,8.75,8.75,77.25,78.75,100.5,180.8,82.0,1546,38,38,MIL,UNLV,DOMESTIC,5.0,199,33406,760,319,270,0.42,0.305,0.785,4.4,0.062,-2.8,-0.6,2016,16.9,3.8,1.6,1.4
georges niang,PF,0.1,9.25,9.25,78.75,80.5,103.0,230.8,82.0,1558,50,50,IND,Iowa State,DOMESTIC,6.0,283,33406,1667,563,228,0.435,0.402,0.865,7.4,0.089,-1.1,0.9,2016,14.1,5.9,2.0,0.8
chinanu onuaku,C,0.09,9.0,8.0,81.0,82.0,108.5,245.2,86.75,1545,37,37,HOU,Louisville,DOMESTIC,2.0,6,33406,18,14,4,0.583,0.31,1.0,0.1,0.043,-5.4,-0.1,2016,12.3,3.0,2.3,0.7
marcus paige,PG,0.04,7.75,8.75,72.5,73.75,97.0,163.8,78.25,1563,55,55,BRK,UNC,DOMESTIC,1.0,5,33406,12,4,3,0.286,0.25,1.0,0.0,-0.006,-8.8,0.0,2016,5.6,2.4,0.8,0.6
jakob poeltl,C,0.06,9.25,10.25,84.25,85.0,111.5,239.0,86.75,1517,9,9,TOR,Utah,DOMESTIC,6.0,397,33406,2762,2339,550,0.627,0.667,0.514,27.0,0.165,1.0,6.0,2016,19.8,7.0,5.9,1.4
taurean prince,SF,0.06,9.0,8.5,78.5,79.75,102.0,220.2,83.5,1520,12,12,UTA,Baylor,DOMESTIC,6.0,348,33406,3667,1378,619,0.414,0.372,0.819,7.4,0.042,-1.9,0.3,2016,24.4,10.5,4.0,1.8
zhou qi,PF-C,0.05,9.25,9.5,85.25,86.25,112.5,218.2,91.75,1551,43,43,HOU,FOREIGN,FOREIGN,2.0,19,33406,24,22,2,0.212,0.105,0.667,-0.2,-0.093,-9.6,-0.2,2016,6.6,1.3,1.2,0.1
malachi richardson,SG-SF,0.07,8.75,10.0,76.75,78.25,101.5,199.6,84.0,1530,22,22,CHA,Syracuse,DOMESTIC,3.0,70,33406,198,70,24,0.358,0.301,0.783,-0.1,-0.009,-6.1,-0.7,2016,8.9,2.8,1.0,0.3
pascal siakam,PF,0.05,9.25,10.0,80.25,81.5,107.5,226.6,87.25,1535,27,27,TOR,New Mexico State,DOMESTIC,6.0,376,33406,5703,2323,1110,0.489,0.328,0.774,30.2,0.134,1.5,9.7,2016,28.9,15.2,6.2,3.0
diamond stone,C,0.13,8.5,7.75,81.0,82.25,108.5,254.4,86.75,1548,40,40,NOP,Maryland,DOMESTIC,1.0,7,33406,10,6,0,0.231,0.31,1.0,-0.1,-0.211,-20.8,-0.1,2016,3.4,1.4,0.9,0.0
caleb swanigan,PF,0.13,9.0,10.25,79.5,80.5,107.0,246.6,87.5,1594,26,26,POR,Purdue,DOMESTIC,3.0,75,33406,169,218,56,0.438,0.118,0.614,-0.2,-0.015,-6.2,-0.7,2017,8.7,2.3,2.9,0.7
caleb swanigan,PF,0.07,9.5,10.25,79.5,80.5,108.0,245.6,87.0,1594,26,26,POR,Purdue,DOMESTIC,3.0,75,33406,169,218,56,0.438,0.118,0.614,-0.2,-0.015,-6.2,-0.7,2017,8.7,2.3,2.9,0.7
tyler ulis,PG,0.05,7.5,7.5,68.75,70.0,88.5,149.2,74.0,1542,34,34,PHO,Kentucky,DOMESTIC,3.0,133,33406,998,223,537,0.403,0.28,0.808,0.5,0.008,-3.6,-1.1,2016,20.9,7.5,1.7,4.0
denzel valentine,SG-SF,0.09,8.5,9.75,76.0,77.75,102.0,210.4,82.75,1522,14,14,CHI,Michigan State,DOMESTIC,5.0,256,33406,1795,857,466,0.394,0.36,0.787,4.5,0.045,-1.8,0.2,2016,18.8,7.0,3.3,1.8
isaiah whitehead,PG-SG,0.09,8.5,8.75,75.25,76.5,100.0,210.0,80.75,1550,42,42,UTA,Seton Hall,DOMESTIC,2.0,89,33406,643,210,212,0.411,0.305,0.788,-0.9,-0.025,-5.0,-1.4,2016,20.5,7.2,2.4,2.4
stephen zimmerman,C,0.11,9.0,9.0,82.25,83.75,108.5,234.0,87.25,1549,41,41,ORL,UNLV,DOMESTIC,1.0,19,33406,23,35,4,0.323,0.31,0.6,0.0,-0.005,-8.3,-0.2,2016,5.7,1.2,1.8,0.2
jarrett allen,C,0.07,9.5,10.5,81.0,82.25,109.5,233.6,89.25,1590,22,22,BRK,Texas,DOMESTIC,5.0,335,33406,3851,2913,466,0.623,0.189,0.698,34.6,0.187,1.7,8.3,2017,26.5,11.5,8.7,1.4
kadeem allen,PG,0.06,8.5,8.75,73.0,74.25,99.5,192.4,81.25,1621,53,53,BOS,Arizona,DOMESTIC,3.0,47,33406,258,71,109,0.435,0.349,0.757,1.0,0.075,-1.2,0.1,2017,13.6,5.5,1.5,2.3
ike anigbogu,C,0.05,9.5,10.0,80.5,81.75,110.5,252.2,90.25,1615,47,47,IND,UCLA,DOMESTIC,2.0,14,33406,13,12,1,0.333,0.31,0.833,0.0,0.057,-1.1,0.0,2017,2.6,0.9,0.9,0.1
