PlayerName,Position,BodyFatPercentage,HandLength_Inches,HandWidth_Inches,HeightWithoutShoes_Inches,HeightWithShoes_Inches,StandingReach_Inches,Weight_lbs,Wingspan_Inches,ID,Rank,PickNumber,Team,College,PlayedOverseas,YearsPlayed,GamesPlayed,TotalMinutesPlayed,TotalPoints,TotalRebounds,TotalAssists,FieldGoalPercentage,ThreePointPercentage,FreeThrowPercentage,WinShares,WinSharesPer48Minutes,BoxPlusMinus,ValueOverReplacementPlayer,DraftYear,MinutesPerGame,PointsPerGame,ReboundsPerGame,AssistsPerGame
edmond sumner,PG,0.08,8.25,9.0,76.0,77.75,102.5,176.4,81.0,1620,52,52,NOP,Xavier,DOMESTIC,4.0,108,33406,619,165,114,0.474,0.333,0.728,1.9,0.061,-3.2,-0.4,2017,14.1,5.7,1.5,1.1
sindarius thornwell,SG-SF,0.08,8.75,8.75,75.5,76.75,103.0,211.6,82.0,1616,48,48,MIL,South Carolina,DOMESTIC,4.0,160,33406,401,206,111,0.407,0.34,0.672,1.1,0.032,-3.1,-0.5,2017,10.8,2.5,1.3,0.7
moritz wagner,PF,0.07,8.75,10.75,82.0,83.25,108.0,231.2,84.0,1653,25,25,LAL,Michigan,DOMESTIC,4.0,178,33406,1252,560,179,0.486,0.32,0.812,4.8,0.089,-1.9,0.1,2018,14.4,7.0,3.1,1.0
moritz wagner,C-PF,0.07,9.0,10.75,82.5,83.5,108.0,241.4,84.0,1653,25,25,LAL,Michigan,DOMESTIC,4.0,178,33406,1252,560,179,0.486,0.32,0.812,4.8,0.089,-1.9,0.1,2018,14.4,7.0,3.1,1.0
thomas welsh,PF-C,0.11,9.0,10.5,83.5,84.5,109.5,254.0,84.0,1686,58,58,DEN,UCLA,DOMESTIC,1.0,11,33406,18,4,5,0.538,0.429,0.5,0.1,0.162,1.2,0.0,2018,3.3,1.6,0.4,0.5
derrick white,PG,0.06,8.25,8.5,75.25,76.5,101.5,189.8,79.5,1597,29,29,SAS,Colorado,DOMESTIC,5.0,241,33406,2790,793,929,0.444,0.341,0.834,13.9,0.107,1.3,5.2,2017,25.8,11.6,3.3,3.9
nigel williams-goss,PG,0.06,8.75,9.25,73.5,75.0,99.0,190.2,79.25,1623,55,55,UTA,Gonzaga,DOMESTIC,1.0,10,33406,14,6,6,0.313,0.286,1.0,0.0,0.017,-3.9,0.0,2017,5.0,1.4,0.6,0.6
d.j. wilson,PF,0.06,9.25,10.25,80.75,82.5,109.5,234.4,87.0,1585,17,17,MIL,Michigan,DOMESTIC,5.0,145,33406,641,450,107,0.417,0.327,0.618,2.8,0.073,-2.6,-0.3,2017,12.4,4.4,3.1,0.7
grayson allen,SG,0.06,8.25,10.0,75.0,76.5,97.0,198.0,79.25,1649,21,21,UTA,Duke,DOMESTIC,4.0,175,33406,1637,434,259,0.424,0.386,0.837,7.1,0.09,-0.9,1.1,2018,21.5,9.4,2.5,1.5
kostas antetokounmpo,PF,0.05,9.25,9.5,81.0,82.5,110.0,194.8,86.25,1688,60,60,PHI,Dayton,DOMESTIC,3.0,22,33406,21,23,3,0.375,0.31,0.474,-0.2,-0.098,-9.9,-0.2,2018,4.0,1.0,1.0,0.1
udoka azubuike,C,0.08,9.5,10.0,82.0,84.25,112.5,273.8,91.0,1775,27,27,UTA,Kansas,DOMESTIC,2.0,30,33406,88,75,0,0.698,0.31,0.667,0.7,0.141,-2.4,0.0,2020,7.8,2.9,2.5,0.0
keita bates-diop,SG-SF,0.05,9.0,8.5,79.25,80.5,106.5,223.8,87.25,1676,48,48,MIN,Ohio State,DOMESTIC,4.0,149,33406,757,434,86,0.451,0.308,0.696,3.1,0.066,-2.3,-0.2,2018,14.9,5.1,2.9,0.6
miles bridges,SF,0.06,9.0,9.75,77.25,78.75,103.5,220.4,81.5,1640,12,12,LAC,Michigan State,DOMESTIC,4.0,269,33406,3441,1500,564,0.467,0.34,0.808,13.7,0.085,-0.5,2.9,2018,28.7,12.8,5.6,2.1
bruce brown,SG-PG,0.04,8.5,8.5,75.5,77.0,98.5,194.6,81.0,1670,42,42,DET,Miami (FL),DOMESTIC,4.0,247,33406,1732,1023,491,0.474,0.301,0.739,10.2,0.087,-1.5,0.7,2018,22.7,7.0,4.1,2.0
jalen brunson,PG,0.07,8.25,9.25,73.0,74.25,96.0,198.4,76.0,1661,33,33,DAL,Villanova,DOMESTIC,4.0,256,33406,2944,756,971,0.494,0.373,0.786,15.6,0.121,0.1,3.3,2018,24.1,11.5,3.0,3.8
tony carr,PG,0.07,8.5,9.75,75.0,76.5,100.0,198.8,80.25,1679,51,51,NOP,Penn State,DOMESTIC,3.57,161,33406,1490,577,306,0.43,0.31,0.73,6.0,0.05,-2.73,0.96,2018,16.23,6.5,2.75,1.36
jevon carter,PG,0.04,9.25,8.5,72.25,73.5,95.0,196.2,76.25,1660,32,32,MEM,West Virginia,DOMESTIC,4.0,203,33406,872,343,270,0.375,0.369,0.789,3.3,0.057,-1.4,0.4,2018,13.7,4.3,1.7,1.3
donte divincenzo,SG,0.05,8.25,9.0,75.5,76.5,97.5,200.6,78.0,1645,17,17,MIL,Villanova,DOMESTIC,4.0,179,33406,1579,836,429,0.421,0.34,0.755,8.6,0.099,-0.1,2.1,2018,23.2,8.8,4.7,2.4
carsen edwards,PG,0.06,8.5,9.25,70.75,72.0,94.5,195.6,78.25,1721,33,33,PHI,Purdue,DOMESTIC,2.0,68,33406,244,73,38,0.372,0.302,0.75,0.4,0.03,-4.5,-0.4,2019,9.2,3.6,1.1,0.6
carsen edwards,PG,0.06,8.75,9.0,70.75,72.25,94.5,199.4,78.0,1721,33,33,PHI,Purdue,DOMESTIC,2.0,68,33406,244,73,38,0.372,0.302,0.75,0.4,0.03,-4.5,-0.4,2019,9.2,3.6,1.1,0.6
jacob evans,SG-SF,0.07,9.0,9.25,76.25,77.5,102.5,199.6,81.25,1656,28,28,GSW,Cincinnati,DOMESTIC,2.0,59,33406,168,66,54,0.337,0.315,0.833,-0.6,-0.047,-7.4,-0.8,2018,10.5,2.8,1.1,0.9
bruno fernando,C,0.05,9.5,10.0,80.75,81.75,109.0,233.2,88.25,1722,34,34,PHI,Maryland,DOMESTIC,3.0,111,33406,320,297,63,0.498,0.146,0.617,0.8,0.04,-4.7,-0.7,2019,9.1,2.9,2.7,0.6
bruno fernando,C,0.05,9.25,10.0,80.75,82.25,110.0,237.0,87.25,1722,34,34,PHI,Maryland,DOMESTIC,3.0,111,33406,320,297,63,0.498,0.146,0.617,0.8,0.04,-4.7,-0.7,2019,9.1,2.9,2.7,0.6
melvin frazier,SF-SG,0.08,9.5,9.5,76.5,78.0,105.0,198.2,85.75,1663,35,35,ORL,Tulane,DOMESTIC,2.0,29,33406,55,15,4,0.4,0.364,0.375,0.0,0.008,-5.4,-0.2,2018,5.9,1.9,0.5,0.1
shai gilgeous-alexander,PG,0.03,9.0,9.0,76.5,78.0,104.0,180.0,83.5,1639,11,11,CHA,Kentucky,DOMESTIC,4.0,230,33406,4026,1013,945,0.467,0.345,0.807,16.2,0.107,1.6,6.7,2018,31.6,17.5,4.4,4.1
devon hall,SG,0.08,8.5,10.0,76.25,78.0,102.0,206.4,79.75,1681,53,53,OKC,Virginia,DOMESTIC,1.0,11,33406,20,7,13,0.2,0.235,0.5,-0.2,-0.116,-6.7,-0.1,2018,7.4,1.8,0.6,1.2
jaylen hands,PG,0.05,8.0,8.0,73.5,74.75,98.0,179.0,77.5,1744,56,56,LAC,UCLA,DOMESTIC,3.57,161,33406,1490,577,306,0.43,0.31,0.73,6.0,0.05,-2.73,0.96,2019,16.23,6.5,2.75,1.36
jaylen hands,PG,0.05,8.0,8.25,73.5,75.0,97.0,180.4,77.5,1744,56,56,LAC,UCLA,DOMESTIC,3.57,161,33406,1490,577,306,0.43,0.31,0.73,6.0,0.05,-2.73,0.96,2019,16.23,6.5,2.75,1.36
kevin hervey,PF,0.05,9.25,10.25,78.5,79.75,107.0,211.6,87.5,1685,57,57,OKC,UT Arlington,DOMESTIC,1.0,10,33406,17,12,5,0.259,0.15,0.73,-0.1,-0.085,-5.1,0.0,2018,5.2,1.7,1.2,0.5
aaron holiday,PG,0.06,8.75,8.5,71.75,72.75,97.0,187.0,79.5,1651,23,23,IND,UCLA,DOMESTIC,4.0,226,33406,1669,385,521,0.415,0.371,0.827,4.1,0.047,-2.4,-0.4,2018,18.3,7.4,1.7,2.3
kevin huerter,SG,0.09,8.25,8.5,78.25,79.25,101.5,194.0,79.5,1647,19,19,ATL,Maryland,DOMESTIC,4.0,251,33406,2825,866,811,0.43,0.376,0.787,8.3,0.054,-1.4,1.1,2018,29.5,11.3,3.5,3.2
alize johnson,PF,0.08,8.5,9.75,79.25,80.0,103.0,216.6,80.75,1678,50,50,IND,Missouri State,DOMESTIC,4.0,68,33406,173,205,30,0.493,0.25,0.718,1.3,0.124,-1.8,0.0,2018,7.5,2.5,3.0,0.4
george king,SF-SG,0.07,9.0,10.25,76.75,78.0,101.5,218.6,83.5,1687,59,59,PHO,Colorado,DOMESTIC,2.0,5,33406,1,6,0,0.0,0.0,0.5,-0.1,-0.222,-17.0,-0.1,2018,5.0,0.2,1.2,0.0
kevin knox,SF,0.05,8.75,9.25,79.75,81.0,108.0,212.6,83.75,1637,9,9,NYK,Kentucky,DOMESTIC,4.0,203,33406,1608,615,170,0.368,0.342,0.704,-0.5,-0.006,-4.7,-2.7,2018,19.5,7.9,3.0,0.8
cody martin,SG-SF,0.05,8.5,9.0,76.75,78.0,102.5,188.6,82.25,1724,36,36,CHA,Nevada,DOMESTIC,3.0,149,33406,836,527,309,0.444,0.325,0.642,4.7,0.072,-1.4,0.5,2019,20.7,5.6,3.5,2.1
cody martin,PG-SG,0.05,8.25,9.0,76.75,77.5,102.5,192.2,82.25,1724,36,36,CHA,Nevada,DOMESTIC,3.0,149,33406,836,527,309,0.444,0.325,0.642,4.7,0.072,-1.4,0.5,2019,20.7,5.6,3.5,2.1
chimezie metu,PF-C,0.05,9.0,9.25,80.5,81.5,108.0,219.6,84.5,1677,49,49,SAS,USC,DOMESTIC,4.0,125,33406,712,427,98,0.456,0.288,0.755,1.6,0.047,-2.5,-0.2,2018,13.4,5.7,3.4,0.8
shake milton,SG-PG,0.07,8.75,9.5,76.5,77.5,99.5,207.2,84.75,1682,54,54,DAL,SMU,DOMESTIC,4.0,154,33406,1589,367,403,0.446,0.361,0.825,6.0,0.088,-1.8,0.2,2018,21.4,10.3,2.4,2.6
josh okogie,SG,0.05,9.0,9.75,75.0,76.5,102.0,210.8,84.0,1648,20,20,MIN,Georgia Tech,DOMESTIC,4.0,228,33406,1504,702,271,0.4,0.273,0.755,5.0,0.049,-3.0,-1.2,2018,21.5,6.6,3.1,1.2
jerome robinson,SG,0.06,9.0,10.0,76.0,77.0,98.0,188.4,79.25,1641,13,13,LAC,Boston College,DOMESTIC,3.0,113,33406,514,208,131,0.363,0.31,0.721,-0.1,-0.003,-4.7,-1.1,2018,14.2,4.5,1.8,1.2
collin sexton,PG,0.06,8.25,8.5,72.5,73.5,98.5,183.0,79.25,1636,8,8,CLE,Alabama,DOMESTIC,4.0,218,33406,4356,663,720,0.458,0.378,0.827,5.5,0.037,-2.5,-0.9,2018,32.9,20.0,3.0,3.3
landry shamet,PG,0.05,8.0,9.0,76.0,77.25,100.0,188.6,78.75,1654,26,26,PHI,Wichita State,DOMESTIC,4.0,238,33406,2112,432,386,0.408,0.39,0.837,9.7,0.084,-1.8,0.2,2018,23.3,8.9,1.8,1.6
anfernee simons,SG-PG,0.08,8.75,9.0,74.25,75.25,99.5,183.2,81.25,1652,24,24,POR,FOREIGN,FOREIGN,4.0,207,33406,2055,448,404,0.425,0.39,0.828,4.6,0.052,-2.1,-0.1,2018,20.5,9.9,2.2,2.0
zhaire smith,SF-SG,0.06,8.75,8.25,74.75,76.0,100.0,198.6,81.75,1644,16,16,PHO,Texas Tech,DOMESTIC,2.0,13,33406,48,15,12,0.378,0.316,0.667,0.0,0.011,-6.1,-0.1,2018,11.0,3.7,1.2,0.9
ray spalding,PF,0.06,9.25,9.0,81.0,82.25,109.0,215.4,88.75,1684,56,56,PHI,Louisville,DOMESTIC,2.0,16,33406,58,52,5,0.529,0.0,0.286,0.1,0.024,-6.2,-0.2,2018,10.4,3.6,3.3,0.3
omari spellman,PF-C,0.14,9.0,9.0,80.0,81.25,107.5,253.8,86.0,1658,30,30,ATL,Villanova,DOMESTIC,2.0,95,33406,642,413,94,0.417,0.366,0.766,2.4,0.068,-1.5,0.2,2018,17.8,6.8,4.3,1.0
khyri thomas,SG,0.06,8.75,9.25,74.5,75.75,101.0,198.8,82.5,1666,38,38,PHI,Creighton,DOMESTIC,3.0,39,33406,160,39,36,0.388,0.316,0.75,0.5,0.058,-2.7,-0.1,2018,10.5,4.1,1.0,0.9
trae young,PG,0.05,8.0,9.25,72.5,73.75,95.5,177.8,75.0,1633,5,5,DAL,Oklahoma,DOMESTIC,4.0,257,33406,6396,1007,2300,0.437,0.352,0.868,22.6,0.126,2.7,10.1,2018,33.4,24.9,3.9,8.9
nickeil alexander-walker,SG,0.06,8.5,8.75,76.25,77.5,102.0,203.8,81.5,1705,17,17,BRK,Virginia Tech,DOMESTIC,3.0,145,33406,1414,393,330,0.388,0.33,0.715,0.2,0.004,-2.8,-0.6,2019,20.1,9.8,2.7,2.3
rj barrett,SF,0.07,8.71,9.3,76.75,77.92,102.31,211.35,81.8,1691,3,3,NYK,Duke,DOMESTIC,3.0,176,33406,2930,965,485,0.421,0.364,0.687,5.0,0.041,-2.2,-0.3,2019,33.0,16.6,5.5,2.8
charles bassey,C,0.09,9.25,9.5,80.75,82.0,109.5,239.0,87.5,1861,53,53,PHI,Western Kentucky,DOMESTIC,1.0,23,33406,69,62,7,0.638,0.0,0.75,0.8,0.225,1.9,0.2,2021,7.3,3.0,2.7,0.3
charles bassey,C,0.06,9.0,9.5,72.25,72.25,97.5,230.2,84.0,1861,53,53,PHI,Western Kentucky,DOMESTIC,1.0,23,33406,69,62,7,0.638,0.0,0.75,0.8,0.225,1.9,0.2,2021,7.3,3.0,2.7,0.3
darius bazley,PF,0.04,9.0,9.75,79.75,81.0,107.0,208.4,84.0,1711,23,23,UTA,FOREIGN,FOREIGN,3.0,169,33406,1618,990,211,0.397,0.305,0.699,1.4,0.016,-2.8,-0.8,2019,25.4,9.6,5.9,1.2
bol bol,C,0.07,9.25,9.5,84.75,86.5,115.5,208.0,91.0,1732,44,44,MIA,Oregon,DOMESTIC,3.0,53,33406,142,63,18,0.478,0.378,0.667,0.2,0.033,-3.0,-0.1,2019,6.2,2.7,1.2,0.3
jordan bone,SG,0.05,7.5,9.25,73.5,74.75,95.0,179.0,75.25,1745,57,57,NOP,Tennessee,DOMESTIC,2.0,24,33406,68,28,26,0.378,0.286,0.73,0.1,0.01,-5.9,-0.2,2019,10.4,2.8,1.2,1.1
ignas brazdeikis,SF,0.06,8.75,9.5,77.75,79.25,102.0,220.8,81.25,1735,47,47,SAC,Michigan,DOMESTIC,3.0,50,33406,187,86,42,0.377,0.319,0.765,0.1,0.006,-5.4,-0.5,2019,11.1,3.7,1.7,0.8
brandon clarke,SF,0.05,8.25,9.5,79.25,80.25,102.0,207.2,80.25,1709,21,21,OKC,Gonzaga,DOMESTIC,3.0,162,33406,1784,920,240,0.587,0.294,0.717,13.8,0.184,2.9,4.4,2019,22.1,11.0,5.7,1.5
jarrett culver,SG,0.05,8.25,8.5,77.25,78.75,100.5,194.2,81.5,1694,6,6,PHO,Texas Tech,DOMESTIC,3.0,124,33406,862,355,160,0.407,0.29,0.505,0.2,0.003,-4.2,-1.3,2019,18.2,7.0,2.9,1.3
daniel gafford,PF,0.06,9.25,9.25,81.25,82.5,110.0,237.6,86.25,1726,38,38,CHI,Arkansas,DOMESTIC,3.0,146,33406,1032,630,99,0.683,0.31,0.664,9.5,0.189,1.2,1.9,2019,16.4,7.1,4.3,0.7
darius garland,PG,0.07,8.71,9.3,76.75,77.92,102.31,211.35,81.8,1693,5,5,CLE,Vanderbilt,DOMESTIC,3.0,160,33406,2622,396,932,0.444,0.375,0.877,4.2,0.038,-1.9,0.1,2019,32.8,16.4,2.5,5.8
quentin grimes,SG,0.08,8.25,10.0,76.0,77.25,100.5,209.6,79.75,1833,25,25,LAC,Houston,DOMESTIC,1.0,39,33406,253,77,38,0.421,0.398,0.647,1.3,0.091,-0.1,0.4,2021,17.8,6.5,2.0,1.0
quentin grimes,SG,0.07,8.5,10.0,72.0,72.25,96.0,205.0,72.0,1833,25,25,LAC,Houston,DOMESTIC,1.0,39,33406,253,77,38,0.421,0.398,0.647,1.3,0.091,-0.1,0.4,2021,17.8,6.5,2.0,1.0
kyle guy,SG,0.06,8.0,8.75,72.75,74.25,95.5,167.8,76.5,1743,55,55,NYK,Virginia,DOMESTIC,3.0,49,33406,164,49,50,0.373,0.321,0.767,0.2,0.018,-4.4,-0.3,2019,8.6,3.3,1.0,1.0
jaxson hayes,PF,0.05,9.25,10.5,82.25,83.5,110.5,218.6,87.5,1696,8,8,ATL,Texas,DOMESTIC,3.0,171,33406,1328,701,114,0.647,0.318,0.716,10.5,0.178,0.2,1.5,2019,16.6,7.8,4.1,0.7
dewan hernandez,C,0.06,9.5,10.25,81.0,82.25,107.0,232.8,85.75,1747,59,59,TOR,Miami (FL),DOMESTIC,1.0,6,33406,14,14,3,0.357,0.5,0.6,0.0,0.043,-9.6,-0.1,2019,4.7,2.3,2.3,0.5
tyler herro,SG,0.07,8.0,8.75,76.5,78.0,100.5,192.4,75.25,1701,13,13,MIA,Kentucky,DOMESTIC,3.0,155,33406,2478,713,486,0.431,0.375,0.852,5.2,0.053,-1.2,1.0,2019,30.0,16.0,4.6,3.1
talen horton-tucker,SG,0.08,9.5,9.75,74.5,76.0,103.0,235.4,85.25,1734,46,46,ORL,Iowa State,DOMESTIC,3.0,113,33406,1018,317,299,0.438,0.279,0.779,3.0,0.058,-2.3,-0.2,2019,21.9,9.0,2.8,2.6
de'andre hunter,PF,0.07,8.71,9.3,76.75,77.92,102.31,211.35,81.8,1692,4,4,LAL,Virginia,DOMESTIC,3.0,116,33406,1513,498,192,0.434,0.356,0.778,2.2,0.03,-3.4,-1.3,2019,30.8,13.0,4.3,1.7
ty jerome,PG,0.07,8.25,9.5,76.25,77.5,98.0,194.4,76.0,1712,24,24,PHI,Virginia,DOMESTIC,3.0,112,33406,795,215,273,0.398,0.344,0.784,2.1,0.052,-1.9,0.0,2019,17.1,7.1,1.9,2.4
keldon johnson,SG,0.06,8.0,9.25,76.75,78.0,104.0,216.4,81.25,1717,29,29,SAS,Kentucky,DOMESTIC,3.0,141,33406,1898,797,237,0.481,0.396,0.749,7.6,0.091,-1.2,0.8,2019,28.3,13.5,5.7,1.7
cameron johnson,SG,0.06,8.0,8.5,79.0,80.5,103.0,205.2,82.0,1699,11,11,MIN,UNC,DOMESTIC,3.0,172,33406,1730,617,229,0.439,0.389,0.835,10.0,0.116,0.9,3.1,2019,24.0,10.1,3.6,1.3
mfiondu kabengele,PF,0.05,9.25,10.75,80.75,82.25,109.5,256.2,87.0,1715,27,27,BRK,Florida State,DOMESTIC,2.0,51,33406,137,71,19,0.388,0.314,0.84,0.4,0.054,-3.1,-0.1,2019,6.7,2.7,1.4,0.4
romeo langford,SG,0.07,9.0,9.0,76.5,78.0,103.0,211.35,83.0,1702,14,14,BOS,Indiana,DOMESTIC,3.0,94,33406,342,180,45,0.396,0.305,0.662,1.5,0.053,-3.0,-0.4,2019,14.7,3.6,1.9,0.5
nassir little,SF,0.06,8.75,10.0,76.5,78.0,104.5,224.2,85.25,1713,25,25,POR,UNC,DOMESTIC,3.0,138,33406,802,472,99,0.455,0.317,0.727,3.7,0.078,-2.1,-0.1,2019,16.7,5.8,3.4,0.7
terance mann,SG-SF,0.04,9.5,9.25,76.75,78.5,101.0,204.6,79.75,1736,48,48,LAC,Florida State,DOMESTIC,3.0,168,33406,1202,609,299,0.492,0.379,0.77,8.3,0.119,-0.7,1.1,2019,20.0,7.2,3.6,1.8
jalen mcdaniels,SF,0.06,9.0,10.0,80.25,81.75,105.5,191.6,84.25,1740,52,52,CHA,San Diego State,DOMESTIC,3.0,102,33406,692,370,109,0.477,0.353,0.709,2.9,0.073,-2.9,-0.4,2019,18.5,6.8,3.6,1.1
ja morant,PG,0.07,8.71,9.3,76.75,77.92,102.31,211.35,81.8,1690,2,2,MEM,Murray State,DOMESTIC,3.0,176,33406,3630,780,1269,0.473,0.321,0.752,12.6,0.107,1.6,5.1,2019,32.1,20.6,4.4,7.2
jaylen nowell,SG,0.06,8.25,8.5,75.25,76.25,98.0,202.4,79.25,1731,43,43,MIN,Washington,DOMESTIC,3.0,99,33406,761,190,168,0.436,0.326,0.803,2.7,0.084,-1.4,0.2,2019,15.4,7.7,1.9,1.7
jordan nwora,PF,0.08,8.5,9.25,77.75,79.5,103.0,220.0,82.5,1793,45,45,MIL,Louisville,DOMESTIC,2.0,76,33406,552,230,53,0.423,0.389,0.771,1.1,0.045,-2.7,-0.2,2020,15.5,7.3,3.0,0.7
chuma okeke,,0.07,8.71,9.3,76.75,77.92,102.31,211.35,81.8,1704,16,16,ORL,Auburn,DOMESTIC,2.0,94,33406,751,409,177,0.397,0.323,0.795,2.6,0.055,-0.8,0.7,2019,24.5,8.0,4.4,1.9
kz okpala,SF,0.05,9.25,9.25,79.25,81.5,106.5,209.6,85.75,1720,32,32,PHO,Stanford,DOMESTIC,3.0,63,33406,176,114,34,0.406,0.273,0.607,0.7,0.048,-5.2,-0.6,2019,11.4,2.8,1.8,0.5
miye oni,SG,0.05,9.0,10.0,76.25,77.75,100.5,205.6,82.75,1746,58,58,GSW,Yale,DOMESTIC,3.0,80,33406,145,108,37,0.35,0.33,0.75,1.0,0.07,-2.5,-0.1,2019,8.4,1.8,1.4,0.5
eric paschall,SF,0.06,9.0,9.5,78.0,79.25,103.5,254.4,83.75,1729,41,41,GSW,Villanova,DOMESTIC,3.0,144,33406,1476,494,205,0.495,0.326,0.755,4.6,0.075,-2.3,-0.2,2019,20.4,10.3,3.4,1.4
reggie perry,SF-PF,0.07,9.0,10.0,80.0,81.25,106.0,250.8,84.5,1805,57,57,LAC,Mississippi State,DOMESTIC,2.0,29,33406,91,81,16,0.42,0.217,0.8,0.3,0.046,-6.7,-0.3,2020,9.0,3.1,2.8,0.6
jordan poole,SG,0.08,8.25,8.5,75.5,77.5,99.5,190.8,78.75,1716,28,28,GSW,Michigan,DOMESTIC,3.0,161,33406,1982,375,417,0.404,0.325,0.874,4.2,0.054,-2.5,-0.5,2019,23.5,12.3,2.3,2.6
kevin porter jr.,SG,0.05,8.75,8.75,76.0,77.5,103.0,212.6,81.0,1718,30,30,MIL,USC,DOMESTIC,3.0,115,33406,1463,415,514,0.421,0.347,0.68,0.1,0.001,-3.4,-1.1,2019,27.6,12.7,3.6,4.5
neemias queta,C,0.06,9.5,11.0,82.75,84.25,111.5,225.8,88.25,1847,39,39,SAC,Utah State University,DOMESTIC,1.0,10,33406,21,19,4,0.391,0.31,0.6,0.0,0.008,-6.4,-0.1,2021,5.6,2.1,1.9,0.4
neemias queta,C,0.08,9.25,10.5,73.25,84.5,108.5,248.4,84.0,1847,39,39,SAC,Utah State University,DOMESTIC,1.0,10,33406,21,19,4,0.391,0.31,0.6,0.0,0.008,-6.4,-0.1,2021,5.6,2.1,1.9,0.4
isaiah roby,PF,0.04,9.0,10.5,79.25,80.5,106.0,214.0,85.0,1733,45,45,DET,Nebraska,DOMESTIC,3.0,86,33406,686,424,122,0.488,0.319,0.729,2.1,0.056,-2.9,-0.4,2019,20.6,8.0,4.9,1.4
admiral schofield,SF,0.07,8.75,9.0,76.0,77.25,102.5,240.6,81.75,1730,42,42,PHI,Tennessee,DOMESTIC,2.0,57,33406,182,96,31,0.419,0.324,0.682,0.4,0.027,-5.1,-0.5,2019,11.2,3.2,1.7,0.5
marial shayok,SF-PF,0.05,8.75,9.25,76.5,77.5,103.5,196.8,84.25,1742,54,54,PHI,Iowa State,DOMESTIC,1.0,4,33406,11,7,1,0.25,0.333,0.75,-0.1,-0.13,-13.0,-0.1,2019,7.0,2.8,1.8,0.3
p.j. washington,PF,0.09,9.0,10.25,78.5,80.0,106.5,230.4,86.25,1700,12,12,CHA,Kentucky,DOMESTIC,3.0,165,33406,1955,976,370,0.446,0.38,0.702,6.7,0.067,-1.0,1.2,2019,29.1,11.8,5.9,2.2
tremont waters,PG,0.07,8.0,9.75,69.5,70.75,93.5,172.4,74.25,1739,51,51,BOS,LSU,DOMESTIC,3.0,40,33406,149,37,85,0.354,0.296,0.96,0.1,0.011,-3.0,-0.1,2019,10.2,3.7,0.9,2.1
quinndary weatherspoon,SG,0.06,8.5,9.0,75.0,76.25,100.0,206.6,81.0,1737,49,49,SAS,Mississippi State,DOMESTIC,3.0,36,33406,72,24,21,0.435,0.167,0.8,0.0,0.002,-6.0,-0.2,2019,6.4,2.0,0.7,0.6
coby white,PG,0.04,7.75,9.0,75.5,76.75,97.5,191.4,77.0,1695,7,7,CHI,UNC,DOMESTIC,3.0,173,33406,2446,635,613,0.415,0.366,0.847,5.5,0.053,-2.3,-0.4,2019,28.5,14.1,3.7,3.5
grant williams,PF,0.05,9.0,10.5,77.75,79.5,104.5,240.2,81.75,1710,22,22,BOS,Tennessee,DOMESTIC,3.0,187,33406,941,533,193,0.45,0.378,0.734,6.5,0.09,-1.8,0.2,2019,18.5,5.0,2.9,1.0
zion williamson,PF,0.07,8.71,9.3,76.75,77.92,102.31,211.35,81.8,1689,1,1,NOP,Duke,DOMESTIC,2.0,85,33406,2187,591,276,0.604,0.333,0.683,10.6,0.189,4.9,4.7,2019,31.7,25.7,7.0,3.2
dylan windler,SF,0.05,8.25,9.5,78.25,79.5,104.5,195.8,82.0,1714,26,26,CLE,Belmont,DOMESTIC,2.0,68,33406,255,169,58,0.435,0.359,0.778,1.3,0.071,-1.3,0.1,2019,12.6,3.8,2.5,0.9
aaron wiggins,SG-SF,0.05,8.75,8.5,72.5,72.0,96.0,190.0,72.75,1863,55,55,OKC,Maryland,DOMESTIC,1.0,34,33406,243,115,38,0.464,0.307,0.706,1.2,0.077,-2.9,-0.2,2021,22.4,7.1,3.4,1.1
ayo dosunmu,SG,0.05,8.5,8.75,72.5,72.0,96.0,194.4,72.25,1846,38,38,CHI,Illinois,DOMESTIC,1.0,54,33406,440,151,166,0.523,0.407,0.677,2.5,0.087,-1.6,0.1,2021,25.9,8.1,2.8,3.1
brandon boston jr.,SF,0.06,9.0,9.75,72.75,72.0,96.0,188.0,72.75,1859,51,51,MEM,Kentucky,DOMESTIC,1.0,41,33406,274,94,36,0.371,0.298,0.847,0.2,0.019,-3.6,-0.2,2021,15.1,6.7,2.3,0.9
cade cunningham,PG,0.07,8.71,9.3,76.75,77.92,102.31,211.35,81.8,1809,1,1,DET,Oklahoma State,DOMESTIC,1.0,44,33406,692,241,227,0.394,0.327,0.856,-0.8,-0.028,-2.4,-0.1,2021,31.8,15.7,5.5,5.2
cam thomas,SG,0.07,8.71,9.3,76.75,77.92,102.31,211.35,81.8,1835,27,27,BRK,LSU,DOMESTIC,1.0,48,33406,470,125,62,0.445,0.273,0.808,0.9,0.046,-2.7,-0.2,2021,19.6,9.8,2.6,1.3
corey kispert,SF,0.07,8.75,10.0,72.0,72.25,96.0,223.8,72.0,1823,15,15,WAS,Gonzaga,DOMESTIC,1.0,53,33406,360,135,50,0.43,0.322,0.884,1.2,0.055,-2.7,-0.2,2021,19.8,6.8,2.5,0.9
